repo_name,last_pushed_at,created_at,default_branch,cfn_file_count,total_resources,resource_types,platform_pct,application_pct,data_pct,other_pct,nested_stacks,cross_stack_refs,custom_resources,sam_transforms,parameters,conditions,has_terraform,cfn_lines,aws_account_ids,app_ids
pge-ecm-crm-aws-load-balancer-controller-09,03/24/2026 18:51,04/29/2021 03:18,main,1,0,AWS::IAM::ManagedPolicy,100,0,0,0,0,0,0,false,0,0,false,150,none,none
aws-privatelink-elb-aigateway,03/24/2026 16:39,03/18/2026 18:13,main,2,29,AWS::CloudFormation::Interface|AWS::CloudWatch::Alarm|AWS::CodeBuild::Project|AWS::CodePipeline::Pipeline|AWS::EC2::SecurityGroup|AWS::ElasticLoadBalancingV2::Listener|AWS::ElasticLoadBalancingV2::LoadBalancer|AWS::ElasticLoadBalancingV2::TargetGroup|AWS::Events::Rule|AWS::IAM::ManagedPolicy|AWS::IAM::Role|AWS::Lambda::Function|AWS::Lambda::Permission|AWS::SNS::Topic|AWS::SSM::Parameter|AWS::WAFv2::WebACLAssociation,38,61,0,1,0,0,2,false,2,6,false,1615,242937548904|514712703977|686137062481,APP-2102
aws-privatelink-elb,03/24/2026 14:59,03/23/2026 20:12,main,4,43,AWS::CloudFormation::Interface|AWS::CloudWatch::Alarm|AWS::CodeBuild::Project|AWS::CodePipeline::Pipeline|AWS::EC2::SecurityGroup|AWS::ElasticLoadBalancingV2::Listener|AWS::ElasticLoadBalancingV2::LoadBalancer|AWS::ElasticLoadBalancingV2::TargetGroup|AWS::Events::Rule|AWS::IAM::ManagedPolicy|AWS::IAM::Role|AWS::Lambda::Function|AWS::Lambda::Permission|AWS::SNS::Topic|AWS::SSM::Parameter|AWS::WAFv2::WebACLAssociation,51,48,0,1,0,0,2,false,4,7,false,2797,242937548904|514712703977|686137062481,APP-2102
eimule-rtf,03/24/2026 12:41,06/14/2024 17:57,main,9,35,AWS::CloudFormation::Interface|AWS::EC2::Image|AWS::EC2::Instance|AWS::EC2::SecurityGroup|AWS::EC2::Subnet|AWS::EC2::VPC|AWS::IAM::InstanceProfile|AWS::IAM::ManagedPolicy|AWS::IAM::Role|AWS::IAM::ServiceLinkedRole|AWS::KMS::Alias|AWS::KMS::Key|AWS::Lambda::Function|AWS::RDS::DBCluster|AWS::RDS::DBClusterParameterGroup|AWS::RDS::DBInstance|AWS::RDS::DBParameterGroup|AWS::RDS::DBSubnetGroup|AWS::S3::Bucket|AWS::SecretsManager::Secret|AWS::SecretsManager::SecretTargetAttachment|AWS::SSM::Parameter,48,6,45,1,0,2,2,false,7,5,true,1874,514712703977,APP-3459
gis-geomartcloud-pspsv4-batch-epssevent,03/24/2026 11:33,04/25/2022 23:47,main,1,17,AWS::EC2::SecurityGroup|AWS::EC2::SecurityGroupIngress|AWS::ECS::TaskDefinition|AWS::IAM::Role|AWS::Lambda::EventSourceMapping|AWS::Lambda::Function|AWS::Logs::LogGroup|AWS::SSM::Parameter|AWS::StepFunctions::StateMachine,44,55,0,1,0,0,0,false,1,0,false,1239,none,APP-2753
gis-geomartcloud-pspsv4-api-event-reports,03/24/2026 10:49,08/17/2021 23:26,master,1,18,AWS::ApiGateway::Authorizer|AWS::ApiGateway::Deployment|AWS::ApiGateway::GatewayResponse|AWS::ApiGateway::Method|AWS::ApiGateway::Resource|AWS::ApiGateway::RestApi|AWS::ApiGateway::Stage|AWS::EC2::SecurityGroup|AWS::EC2::SecurityGroupIngress|AWS::IAM::Role|AWS::Lambda::Function|AWS::SQS::Queue|AWS::SQS::QueuePolicy|AWS::SSM::Parameter,22,77,0,1,0,0,0,false,1,2,false,1054,none,APP-2324
aws-fis-chaos,03/24/2026 01:30,11/09/2023 18:01,main,7,28,AWS::AutoScaling::AutoScalingGroup|AWS::CloudFormation::Interface|AWS::CloudWatch::Dashboard|AWS::EC2::LaunchTemplate|AWS::EC2::SecurityGroup|AWS::EC2::Subnet|AWS::EC2::VPC|AWS::ElastiCache::ReplicationGroup|AWS::ElastiCache::SubnetGroup|AWS::ElasticLoadBalancingV2::Listener|AWS::ElasticLoadBalancingV2::LoadBalancer|AWS::ElasticLoadBalancingV2::TargetGroup|AWS::FIS::ExperimentTemplate|AWS::IAM::InstanceProfile|AWS::IAM::Role|AWS::Lambda::Function|AWS::Logs::LogGroup|AWS::RDS::DBCluster|AWS::RDS::DBInstance|AWS::RDS::DBSubnetGroup|AWS::SecretsManager::Secret,26,32,40,2,0,0,2,false,6,0,true,2068,514712703977,APP-3373
aws-iam-service-account-kiosk,03/24/2026 00:20,11/17/2025 23:28,main,1,24,AWS::CloudFormation::Interface|AWS::IAM::ManagedPolicy|AWS::IAM::Role|AWS::SSM::Parameter,100,0,0,0,0,0,0,false,1,3,true,1280,188619942792|514712703977|686137062481,none
Internaltesting-stco,03/23/2026 19:29,01/28/2026 18:14,main,8,8,AWS::Serverless::Function,0,0,0,0,0,0,0,true,0,0,false,160,none,none
pge-secinfra,03/23/2026 18:18,05/05/2025 18:54,main,1,1,AWS::CloudFormation::Interface|AWS::EC2::Instance|AWS::EC2::PrefixList|AWS::EC2::SecurityGroup|AWS::EC2::VPC|AWS::IAM::InstanceProfile|AWS::IAM::Role|AWS::KMS::Alias|AWS::KMS::Key|AWS::SQS::Queue|AWS::SQS::QueuePolicy,100,0,0,0,0,0,0,false,1,3,true,916,801458782278|925741509387,APP-2102
aws-landing-zone,03/23/2026 13:34,10/16/2018 22:19,master,54,305,AWS::CloudFormation::Designer|AWS::CloudFormation::Interface|AWS::CloudTrail::Trail|AWS::CodeBuild::Project|AWS::CodePipeline::Pipeline|AWS::CodePipeline::Webhook|AWS::Config::AggregationAuthorization|AWS::Config::ConfigRule|AWS::Config::ConfigurationRecorder|AWS::Config::DeliveryChannel|AWS::Config::OrganizationConfigRule|AWS::Config::RemediationConfiguration|AWS::EC2::CustomerGateway|AWS::EC2::DHCPOptions|AWS::EC2::FlowLog|AWS::EC2::Image|AWS::EC2::Instance|AWS::EC2::NetworkAcl|AWS::EC2::NetworkAclEntry|AWS::EC2::Route|AWS::EC2::RouteTable|AWS::EC2::SecurityGroup|AWS::EC2::Subnet|AWS::EC2::SubnetNetworkAclAssociation|AWS::EC2::SubnetRouteTableAssociation|AWS::EC2::Volume|AWS::EC2::VPC|AWS::EC2::VPCEndpoint|AWS::EC2::VPCGatewayAttachment|AWS::EC2::VPCPeeringConnection|AWS::EC2::VPNConnection|AWS::EC2::VPNGateway|AWS::EC2::VPNGatewayRoutePropagation|AWS::GuardDuty::Detector|AWS::GuardDuty::Master|AWS::GuardDuty::Member|AWS::IAM::AccessKey|AWS::IAM::Group|AWS::IAM::InstanceProfile|AWS::IAM::ManagedPolicy|AWS::IAM::OIDCProvider|AWS::IAM::Role|AWS::IAM::User|AWS::KMS::Alias|AWS::KMS::Key|AWS::Lambda::Function|AWS::Lambda::Permission|AWS::RDS::DBInstance|AWS::S3::Bucket|AWS::S3::BucketPolicy|AWS::SecretsManager::ResourcePolicy|AWS::SecretsManager::Secret|AWS::Serverless::Function|AWS::SNS::Topic|AWS::SNS::TopicPolicy|AWS::SQS::Queue|AWS::SQS::QueuePolicy|AWS::SSM::Parameter|AWS::StepFunctions::StateMachine,82,13,4,1,0,2,4,true,44,26,false,11954,034420808610|041353061312|138848189333|164755717202|188619942792|475127820549|492767339083|514712703977|544493749271|654839913762|686137062481|739846873405|743717200918|801458782278|868907362424|900405192347|925741509387,APP-1401|APP-1593|APP-2077|APP-2102|APP-2223|APP-2325
oih-cfn-ec2,03/20/2026 18:53,12/12/2025 06:51,main,1,10,AWS::EC2::Image|AWS::EC2::Instance|AWS::EC2::SecurityGroup|AWS::EC2::SecurityGroupIngress|AWS::IAM::InstanceProfile|AWS::IAM::Role|AWS::SSM::Parameter,100,0,0,0,0,0,0,false,1,0,false,490,none,none
meteorology-serverless-api,03/20/2026 15:43,10/16/2020 16:57,main,65,952,AWS::ApiGateway::Account|AWS::ApiGateway::ApiKey|AWS::ApiGateway::Deployment|AWS::ApiGateway::Method|AWS::ApiGateway::Resource|AWS::ApiGateway::UsagePlan|AWS::ApiGateway::UsagePlanKey|AWS::ApiGatewayV2::ApiMapping|AWS::ApiGatewayV2::DomainName|AWS::ApplicationAutoScaling::ScalableTarget|AWS::ApplicationAutoScaling::ScalingPolicy|AWS::Athena::WorkGroup|AWS::CloudFormation::Designer|AWS::DynamoDB::Table|AWS::EC2::SecurityGroup|AWS::EC2::VPCEndpoint|AWS::Glue::Database|AWS::IAM::ManagedPolicy|AWS::IAM::Policy|AWS::IAM::Role|AWS::Lambda::Function|AWS::Serverless::Api|AWS::Serverless::Function|AWS::Serverless::LayerVersion|AWS::SSM::Parameter,31,67,0,2,0,0,29,true,65,23,false,26528,336392948345|514712703977|686137062481|967517989313,none
ccsp-cdp-cdcdm-module,03/20/2026 09:09,12/03/2021 08:11,qa,1,3,AWS::CloudFormation::Interface|AWS::CodeBuild::Project|AWS::Events::Rule|AWS::IAM::Role|AWS::SSM::Parameter,100,0,0,0,0,0,0,false,1,0,false,280,720720378559,none
ccsp-cdp-config-module,03/20/2026 08:49,05/17/2022 11:54,main,3,9,AWS::CloudFormation::Interface|AWS::CodeBuild::Project|AWS::CodePipeline::Pipeline|AWS::IAM::Role|AWS::S3::Bucket|AWS::S3::BucketPolicy|AWS::SSM::Parameter,100,0,0,0,0,0,0,false,3,0,false,1185,720720378559,none
ccsp-cdp-error-retry-orchestrator-v2,03/20/2026 08:33,10/11/2023 09:34,main,2,6,AWS::CloudFormation::Interface|AWS::CodeBuild::Project|AWS::Events::Rule|AWS::IAM::Role|AWS::SSM::Parameter,100,0,0,0,0,0,0,false,2,0,false,531,720720378559,none
gis-geomartcloud-pspsV4-etl-datasync,03/19/2026 16:00,10/19/2020 13:39,master,1,10,AWS::EC2::SecurityGroup|AWS::EC2::SecurityGroupIngress|AWS::Glue::Job|AWS::IAM::Role|AWS::Lambda::Function|AWS::SSM::Parameter,47,17,34,2,0,0,0,true,1,0,false,695,none,APP-2324
psps-viz-lambda,03/18/2026 16:21,05/07/2021 16:27,dev,1,13,AWS::IAM::Role|AWS::Serverless::Api|AWS::Serverless::Function|AWS::Serverless::LayerVersion|AWS::SSM::Parameter,100,0,0,0,0,0,0,true,0,0,false,646,725887861453,none
ccsp-cdp-db-extensions,03/18/2026 12:01,09/28/2021 11:13,main,2,6,AWS::CloudFormation::Interface|AWS::CodeBuild::Project|AWS::CodePipeline::Pipeline|AWS::CodePipeline::Webhook|AWS::IAM::Role|AWS::S3::Bucket|AWS::S3::BucketPolicy|AWS::SSM::Parameter,100,0,0,0,0,0,0,false,2,0,false,737,720720378559,none
meteorology-ec2-automation,03/17/2026 20:57,06/02/2020 19:17,master,14,206,AWS::CloudFormation::CustomResource|AWS::CloudWatch::Alarm|AWS::CodeBuild::Project|AWS::CodePipeline::Pipeline|AWS::EC2::Image|AWS::EC2::Instance|AWS::EC2::VolumeAttachment|AWS::IAM::InstanceProfile|AWS::IAM::Role|AWS::Lambda::Function|AWS::Lambda::Permission|AWS::S3::Bucket|AWS::S3::BucketPolicy|AWS::Serverless::Function|AWS::SSM::Parameter,74,25,0,1,0,0,6,true,14,9,false,6454,850755775074|967517989313,none
ccsp-cdp-ogg-metrics-monitoring-function,03/17/2026 11:01,02/23/2026 16:49,main,3,9,AWS::CloudFormation::Interface|AWS::CodeBuild::Project|AWS::CodePipeline::Pipeline|AWS::EC2::SecurityGroup|AWS::IAM::Role|AWS::S3::Bucket|AWS::S3::BucketPolicy|AWS::Serverless::Function|AWS::SSM::Parameter,100,0,0,0,0,0,0,true,3,0,false,1061,580247275435|720720378559|780761660372|846113385035|901920570463,APP-2395
ccsp-cdp-cdcdm-batch-module,03/17/2026 07:53,06/20/2024 14:48,main,2,6,AWS::CloudFormation::Interface|AWS::CodeBuild::Project|AWS::Events::Rule|AWS::IAM::Role|AWS::SSM::Parameter,100,0,0,0,0,0,0,false,2,0,false,530,720720378559,none
terraform-cicd-pipeline-ref,03/16/2026 21:46,07/25/2022 17:15,main,1,4,AWS::CloudFormation::Interface|AWS::CodeBuild::Project|AWS::CodePipeline::Pipeline|AWS::ElasticBeanstalk::Application|AWS::ElasticBeanstalk::Environment|AWS::IAM::InstanceProfile|AWS::IAM::Role|AWS::S3::Bucket,100,0,0,0,0,0,0,false,1,0,true,338,none,none
ccsp-cdp-item-module,03/16/2026 17:30,07/28/2021 19:21,qa,2,6,AWS::CloudFormation::Interface|AWS::CodeBuild::Project|AWS::Events::Rule|AWS::IAM::Role|AWS::SSM::Parameter,100,0,0,0,0,0,0,false,2,0,false,536,720720378559,none
pge-crm-ecm-db-scripts,03/12/2026 23:24,05/19/2021 17:31,main,4,60,AWS::CodeBuild::Project|AWS::CodePipeline::Pipeline|AWS::CodeStarNotifications::NotificationRule|AWS::IAM::Policy|AWS::IAM::Role|AWS::SSM::Parameter,100,0,0,0,0,0,0,false,4,0,false,1528,none,none
aws-transit-public-nlb-mule-cloudhub,03/12/2026 19:21,07/27/2023 23:29,dev,2,39,AWS::CloudFormation::Interface|AWS::CodeBuild::Project|AWS::CodePipeline::Pipeline|AWS::EC2::SecurityGroup|AWS::ElasticLoadBalancingV2::Listener|AWS::ElasticLoadBalancingV2::LoadBalancer|AWS::ElasticLoadBalancingV2::TargetGroup|AWS::Events::Rule|AWS::IAM::ManagedPolicy|AWS::IAM::Role|AWS::Lambda::Function|AWS::Lambda::Permission|AWS::SNS::Topic|AWS::SSM::Parameter,36,63,0,1,0,19,1,false,2,21,false,5274,242937548904|514712703977|686137062481|757620174545,APP-2102
pge-ecm-crm-ebscsi-07,03/12/2026 01:12,04/29/2021 03:10,main,1,0,AWS::IAM::ManagedPolicy,100,0,0,0,0,0,0,false,0,0,false,46,none,none
pge-ecm-crm-infra-cname,03/11/2026 16:54,08/01/2021 17:17,main,2,8,AWS::CloudFormation::Interface|AWS::CodeBuild::Project|AWS::CodePipeline::Pipeline|AWS::CodePipeline::Webhook|AWS::CodeStarNotifications::NotificationRule|AWS::IAM::Policy|AWS::IAM::Role|AWS::SSM::Parameter,100,0,0,0,0,0,1,false,2,0,false,463,514712703977,none
aws-cfn-rhelimagebuilder,03/11/2026 16:32,12/02/2021 22:33,main,18,159,AWS::CloudFormation::Interface|AWS::EC2::SecurityGroup|AWS::EC2::Subnet|AWS::IAM::InstanceProfile|AWS::IAM::Role|AWS::ImageBuilder::Component|AWS::ImageBuilder::DistributionConfiguration|AWS::ImageBuilder::ImagePipeline|AWS::ImageBuilder::ImageRecipe|AWS::ImageBuilder::InfrastructureConfiguration|AWS::KMS::Alias|AWS::KMS::Key|AWS::Lambda::Function|AWS::Lambda::Permission|AWS::SNS::Topic|AWS::SSM::Document|AWS::SSM::Parameter,55,44,0,1,0,0,0,false,18,8,false,5906,686137062481,none
aws-cfn-imagebuilder,03/11/2026 15:32,02/04/2020 19:32,master,14,106,AWS::CloudFormation::Interface|AWS::DynamoDB::Table|AWS::EC2::Instance|AWS::EC2::SecurityGroup|AWS::EC2::Subnet|AWS::Events::Rule|AWS::IAM::InstanceProfile|AWS::IAM::Role|AWS::ImageBuilder::Component|AWS::ImageBuilder::DistributionConfiguration|AWS::ImageBuilder::ImagePipeline|AWS::ImageBuilder::ImageRecipe|AWS::ImageBuilder::InfrastructureConfiguration|AWS::KMS::Alias|AWS::KMS::Key|AWS::Lambda::Function|AWS::Lambda::Permission|AWS::SNS::Subscription|AWS::SNS::Topic|AWS::SSM::Document|AWS::SSM::Parameter,55,41,2,2,0,0,0,false,14,4,false,4143,137112412989|514712703977|686137062481,none
ccsp-cdp-getrates-v2-lambda,03/10/2026 16:58,08/09/2023 14:37,main,3,9,AWS::CloudFormation::Interface|AWS::CodeBuild::Project|AWS::CodePipeline::Pipeline|AWS::EC2::SecurityGroup|AWS::IAM::Role|AWS::S3::Bucket|AWS::S3::BucketPolicy|AWS::Serverless::Function|AWS::SSM::Parameter,100,0,0,0,0,0,0,true,3,0,false,1020,580247275435|720720378559|780761660372|901920570463,APP-2395
ccsp-cdp-aws-infrastructure,03/10/2026 14:36,04/07/2021 12:22,main,23,165,AWS::ApiGatewayV2::Api|AWS::ApiGatewayV2::Authorizer|AWS::ApiGatewayV2::Integration|AWS::ApiGatewayV2::Route|AWS::ApiGatewayV2::Stage|AWS::AppFlow::ConnectorProfile|AWS::AppFlow::Flow|AWS::Athena::DataCatalog|AWS::Athena::WorkGroup|AWS::Batch::ComputeEnvironment|AWS::Batch::JobDefinition|AWS::Batch::JobQueue|AWS::CloudFormation::Interface|AWS::CloudWatch::Dashboard|AWS::CodeBuild::Project|AWS::CodePipeline::Pipeline|AWS::DMS::Endpoint|AWS::DMS::ReplicationInstance|AWS::DMS::ReplicationSubnetGroup|AWS::DynamoDB::Table|AWS::EC2::SecurityGroup|AWS::EC2::SecurityGroupIngress|AWS::EC2::VPCEndpoint|AWS::ECR::Repository|AWS::ElastiCache::ReplicationGroup|AWS::ElastiCache::SubnetGroup|AWS::ElastiCache::User|AWS::ElastiCache::UserGroup|AWS::ElasticLoadBalancingV2::LoadBalancer|AWS::Events::Rule|AWS::Glue::Crawler|AWS::Glue::Database|AWS::IAM::ManagedPolicy|AWS::IAM::Role|AWS::Kinesis::Stream|AWS::KMS::Alias|AWS::KMS::Key|AWS::Lambda::Function|AWS::Lambda::Permission|AWS::Logs::LogGroup|AWS::RDS::DBCluster|AWS::RDS::DBClusterParameterGroup|AWS::RDS::DBInstance|AWS::RDS::DBParameterGroup|AWS::RDS::DBProxy|AWS::RDS::DBProxyEndpoint|AWS::RDS::DBProxyTargetGroup|AWS::RDS::DBSubnetGroup|AWS::Redshift::Cluster|AWS::Redshift::ClusterParameterGroup|AWS::Redshift::ClusterSubnetGroup|AWS::S3::Bucket|AWS::S3::BucketPolicy|AWS::SecretsManager::Secret|AWS::SecretsManager::SecretTargetAttachment|AWS::Serverless::Application|AWS::SNS::Topic|AWS::SNS::TopicPolicy|AWS::SQS::Queue|AWS::SSM::Parameter,35,23,41,1,0,0,0,true,23,5,false,16363,292517598671|720720378559|780761660372|972333128287,APP-2395
ccsp-cdp-conversion,03/10/2026 10:38,01/24/2022 09:31,qa,2,6,AWS::CloudFormation::Interface|AWS::CodeBuild::Project|AWS::Events::Rule|AWS::IAM::Role|AWS::SSM::Parameter,100,0,0,0,0,0,0,false,2,0,false,530,720720378559,none
ccsp-cdp-reconciliation-module,03/10/2026 06:34,05/14/2024 13:38,main,1,3,AWS::CloudFormation::Interface|AWS::CodeBuild::Project|AWS::Events::Rule|AWS::IAM::Role|AWS::SSM::Parameter,100,0,0,0,0,0,0,false,1,0,false,357,720720378559,none
customer-ch2-mulesoft-cloudformation-templates,03/10/2026 05:26,04/09/2024 20:10,main,4,22,AWS::CloudFormation::Interface|AWS::CodeBuild::Project|AWS::CodePipeline::Pipeline|AWS::CodePipeline::Webhook|AWS::SSM::Parameter,100,0,0,0,0,0,0,false,4,0,false,1774,none,none
pge-ecm-crmbus-preprocess-agentservice,03/07/2026 04:10,09/02/2025 16:51,main,4,28,AWS::CodeBuild::Project|AWS::CodePipeline::Pipeline|AWS::CodePipeline::Webhook|AWS::CodeStarNotifications::NotificationRule|AWS::EC2::SecurityGroup|AWS::ECR::Repository|AWS::IAM::Policy|AWS::IAM::Role|AWS::SSM::Parameter,100,0,0,0,0,0,0,false,4,16,false,4073,none,none
